kingdom	phylum	class	order_	family	v_kingdom	v_phylum	v_class	v_order	v_family	v_genus	kingdomkey	phylumkey	orderkey	classkey	familykey	scientificname	v_scientificname	publisher_rank	taxonrank	occ_count	n_dataset	n_publisher	datasetkeys
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Hypericaceae	Plantae				Guttiferae	Guttiferae	6	7707728	1414	220	4900406	Guttiferae	Guttiferae Clusia	SPECIES	FAMILY	164	1	1	834c9918-f762-11e1-a439-00145eb45e9a
Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae					athyriaceae	Diplazium	6	7707728	392	7228684	4922264	Athyriaceae	athyriaceae Diplazium plantaginifolium (L.) Urb.	SPECIES	FAMILY	162	14	1	5c9a924c-8d45-4452-8604-415a118578aa;2ad00feb-1283-40d4-8352-0e4055f31773;c0a459c6-2ae7-4890-a1e4-38e24e671269;e257fa65-598c-4f11-b03e-dfeba1191db8;3cb7fc60-aa95-4556-b987-b7f6f593b9a1;d2a9b26f-cc8f-46e7-bec9-ba99ec7f9781;8766db9d-86a9-4db5-81ff-d3632826d5b9;af6e6436-2507-43e7-b884-6838f655e14a;99944819-a402-4862-a07b-bcb3dd63b59b;e7b96ed9-da1c-4eec-a481-281b1b319e48;339e9de5-ee9a-4718-8837-0bc5b4f933f5;9118eee0-42d2-4a27-9ae0-78d49d163a5b;5f8fb639-d208-4e1e-b40d-350df9e36cad;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae					Plantae		Cyanophyceae	Nostocales	Rivulariaceae	Gloeotrichia	6					Plantae	Gloeotrichia natans (Hedw.) Rabenh. ex Bornet & Flahault	SPECIES	KINGDOM	161	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Peltigera	5					Fungi	Peltigera canina	SPECIES	KINGDOM	161	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Rhodophyta	Rhodophyceae			Plantae		Rhodophyceae		Rhodophyceae inc. sed.	Polysiphonia	6	106		8029077		Rhodophyceae	Polysiphonia brodiaei (Dillwyn) Grev.	SPECIES	CLASS	161	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Buellia	5					Fungi	Buellia stillingiana	SPECIES	KINGDOM	160	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Animalia	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Animalia	Arthropoda	Insecta	Isoptera	Rhinotermitidae	Paraparvitermes	1	54	800	216	4354	Rhinotermitidae	Paraparvitermes yucatanus	SPECIES	FAMILY	158	1	1	cb7133d4-79c5-4f74-88f5-ada473019c89
Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae					Moraceae	sorocea	6	7707728	691	220	6640	Moraceae	Moraceae sorocea bonplandii (baill.) w.c. burger, lanj. & wess. boer	SPECIES	FAMILY	158	2	1	5c9a924c-8d45-4452-8604-415a118578aa;7fde5656-64fd-4442-ae89-60becebc29a6
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Cladonia	5					Fungi	Cladonia pyxidata	SPECIES	KINGDOM	155	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae					Plantae		Algae		Algae	Phormidium	6					Plantae	Phormidium autumnale (C.Agardh) Gomont	SPECIES	KINGDOM	153	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae	Rhodophyta	Florideophyceae	Gigartinales	Areschougiaceae					Areschougiaceae	Callophycus	6	106	1400	342	4925	Areschougiaceae	Callophycus oppositifolius	SPECIES	FAMILY	153	8	8	15738fee-78b1-4751-bcc1-cbf7139c68de;42301ebf-d36a-4e4f-a061-d37d778c2365;8642acf1-68f2-42b2-8ce3-97798e383cb2;9360958c-3534-4d53-874e-4a952eea3e6d;07a54454-87c7-4e1e-b2ba-88a9d98d534b;01bc220b-39b8-4837-b235-f921187af771;5a3b50fa-c882-4129-9405-38e54c0a73f3;4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Peltigera	5					Fungi	Peltigera aphthosa	SPECIES	KINGDOM	149	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae					Asteraceae	ayapana	6	7707728	414	220	3065	Asteraceae	Asteraceae ayapana amygdalina (lam.) r.m. king & h. rob.	SPECIES	FAMILY	147	5	1	5c9a924c-8d45-4452-8604-415a118578aa;c0a459c6-2ae7-4890-a1e4-38e24e671269;fc43f13c-7106-4dfb-a7b7-98b6a1fdd3d2;3cb7fc60-aa95-4556-b987-b7f6f593b9a1;7fde5656-64fd-4442-ae89-60becebc29a6
